start_time,architecture,dataset,input_size,batch_size,return_code
2024-01-02 12:56:09,inception_v3,stanford_dogs,128,256,0
2024-01-02 13:11:33,inception_v3,stanford_dogs,128,256,0
2024-01-02 13:26:19,inception_v3,stanford_dogs,128,256,0
2024-01-02 13:40:55,inception_v3,stanford_dogs,128,256,0
2024-01-02 13:55:27,inception_v3,stanford_dogs,128,256,0
2024-01-02 14:09:57,inception_v3,stanford_dogs,128,256,0
2024-01-02 14:24:25,inception_v3,stanford_dogs,128,256,0
2024-01-02 14:38:52,inception_v3,stanford_dogs,128,256,0
2024-01-02 14:53:19,inception_v3,stanford_dogs,128,256,0
2024-01-02 15:07:45,inception_v3,stanford_dogs,128,256,0
2024-01-02 15:22:16,inception_v3,stanford_dogs,128,256,0
2024-01-02 15:36:44,inception_v3,stanford_dogs,128,256,0
2024-01-02 15:51:09,inception_v3,stanford_dogs,128,256,0
2024-01-02 16:05:35,inception_v3,stanford_dogs,128,256,0
2024-01-02 16:19:59,inception_v3,stanford_dogs,128,256,0
2024-01-02 16:34:29,inception_v3,stanford_dogs,128,256,0
2024-01-02 16:48:54,inception_v3,stanford_dogs,128,256,0
2024-01-02 17:03:16,inception_v3,stanford_dogs,128,256,0
2024-01-02 17:17:33,inception_v3,stanford_dogs,128,256,0
2024-01-02 17:31:52,inception_v3,stanford_dogs,128,256,0
2024-01-02 17:46:09,inception_v3,stanford_dogs,128,256,0
2024-01-02 18:00:33,inception_v3,stanford_dogs,128,256,0
2024-01-02 18:15:36,inception_v3,stanford_dogs,128,256,0
2024-01-02 18:29:58,inception_v3,stanford_dogs,128,256,0
2024-01-02 18:44:21,inception_v3,stanford_dogs,128,256,0
2024-01-02 18:58:44,inception_v3,stanford_dogs,128,256,0
2024-01-02 19:12:59,inception_v3,stanford_dogs,128,256,0
2024-01-02 19:27:20,inception_v3,stanford_dogs,128,256,0
2024-01-02 19:41:37,inception_v3,stanford_dogs,128,256,0
2024-01-02 19:55:56,inception_v3,stanford_dogs,128,256,0
