start_time,architecture,dataset,input_size,batch_size,return_code
2024-03-21 08:27:23,inception_v3,caltech101,64,256,0
2024-03-21 08:34:36,inception_v3,caltech101,64,256,0
2024-03-21 08:41:37,inception_v3,caltech101,64,256,0
2024-03-21 08:48:38,inception_v3,caltech101,64,256,0
2024-03-21 08:55:39,inception_v3,caltech101,64,256,0
2024-03-21 09:02:40,inception_v3,caltech101,64,256,0
2024-03-21 09:09:39,inception_v3,caltech101,64,256,0
2024-03-21 09:16:41,inception_v3,caltech101,64,256,0
2024-03-21 09:23:40,inception_v3,caltech101,64,256,0
2024-03-21 09:30:42,inception_v3,caltech101,64,256,0
2024-03-21 09:37:44,inception_v3,caltech101,64,256,0
2024-03-21 09:44:44,inception_v3,caltech101,64,256,0
2024-03-21 09:51:44,inception_v3,caltech101,64,256,0
2024-03-21 09:58:46,inception_v3,caltech101,64,256,0
2024-03-21 10:05:47,inception_v3,caltech101,64,256,0
2024-03-21 10:12:48,inception_v3,caltech101,64,256,0
2024-03-21 10:19:48,inception_v3,caltech101,64,256,0
2024-03-21 10:26:49,inception_v3,caltech101,64,256,0
2024-03-21 10:33:50,inception_v3,caltech101,64,256,0
2024-03-21 10:40:53,inception_v3,caltech101,64,256,0
2024-03-21 10:47:55,inception_v3,caltech101,64,256,0
2024-03-21 10:55:39,inception_v3,caltech101,64,256,0
2024-03-21 11:03:05,inception_v3,caltech101,64,256,0
2024-03-21 11:10:05,inception_v3,caltech101,64,256,0
2024-03-21 11:17:05,inception_v3,caltech101,64,256,0
2024-03-21 11:24:05,inception_v3,caltech101,64,256,0
2024-03-21 11:31:06,inception_v3,caltech101,64,256,0
2024-03-21 11:38:07,inception_v3,caltech101,64,256,0
2024-03-21 11:45:09,inception_v3,caltech101,64,256,0
2024-03-21 11:52:09,inception_v3,caltech101,64,256,0
